# Constructed from biom file
#ASV ID	GZ_Bl_1	GZ_Bl_2	GZ_Bl_3	SX_Bl_1	SX_Bl_2	SX_Bl_3	GZ_Rs_1	GZ_Rs_2	GZ_Rs_3	SX_Rs_1	SX_Rs_2	SX_Rs_3
ASV_1	2243.0	100.0	765.0	2343.0	2500.0	4104.0	12096.0	5973.0	10916.0	2227.0	462.0	748.0
ASV_2	63.0	0.0	0.0	67.0	99.0	50.0	8375.0	3931.0	6951.0	3463.0	809.0	767.0
ASV_3	70.0	0.0	13.0	158.0	121.0	113.0	5494.0	2352.0	4072.0	3611.0	1284.0	916.0
ASV_7	261.0	14.0	264.0	734.0	1073.0	687.0	3499.0	1562.0	3020.0	1912.0	436.0	387.0
ASV_6	8574.0	212.0	1136.0	1328.0	1186.0	414.0	39.0	39.0	0.0	0.0	27.0	0.0
ASV_9	1078.0	44.0	384.0	1201.0	1340.0	2049.0	1869.0	935.0	1964.0	259.0	112.0	0.0
ASV_13	98.0	8.0	111.0	865.0	997.0	621.0	1053.0	310.0	589.0	1508.0	493.0	517.0
ASV_12	39.0	0.0	0.0	36.0	51.0	25.0	1941.0	1145.0	1987.0	824.0	518.0	451.0
ASV_15	624.0	44.0	229.0	402.0	469.0	145.0	1093.0	450.0	1689.0	303.0	1479.0	36.0
ASV_17	18.0	0.0	0.0	24.0	29.0	26.0	5487.0	272.0	360.0	208.0	333.0	127.0
ASV_18	34.0	0.0	0.0	20.0	28.0	16.0	1931.0	926.0	1650.0	1248.0	386.0	577.0
ASV_22	107.0	16.0	105.0	319.0	114.0	245.0	1523.0	897.0	1483.0	641.0	277.0	426.0
ASV_25	1982.0	78.0	794.0	851.0	967.0	257.0	43.0	21.0	48.0	9.0	9.0	0.0
ASV_31	28.0	0.0	0.0	25.0	33.0	22.0	1670.0	669.0	1190.0	718.0	227.0	286.0
ASV_5	443.0	26.0	336.0	282.0	228.0	101.0	10.0	18.0	17.0	2558.0	60.0	0.0
ASV_36	337.0	48.0	267.0	1799.0	1196.0	161.0	0.0	25.0	0.0	0.0	0.0	0.0
ASV_42	0.0	0.0	0.0	99.0	84.0	0.0	1302.0	548.0	1035.0	310.0	149.0	193.0
