#SampleID	Env	SourceSink
RAN48	Oral	source
RAN47	Oral	source
RAN46	Oral	source
RAN45	Oral	source
RAN44	Oral	source
RAN43	Oral	source
RAN42	Oral	source
RAN41	Oral	source
RAN40	Oral	source
RAN39	Oral	source
RAN38	Oral	source
RAN37	Oral	source
RAN36	Oral	source
RAN35	Oral	source
RAN34	Oral	source
RAN33	Oral	source
RAN32	Oral	source
RAN31	Oral	source
RAN30	Oral	source
RAN29	Oral	source
RAN28	Oral	source
RAN27	Oral	source
RAN26	Oral	source
RAN25	Oral	source
RAN24	Oral	source
RAN23	Oral	source
RAN22	Oral	source
UAN77	Oral	source
UAN76	Oral	source
UAN75	Oral	source
UAN74	Oral	source
UAN73	Oral	source
UAN72	Oral	source
UAN71	Oral	source
UAN70	Oral	source
UAN69	Oral	source
UAN68	Oral	source
UAN67	Oral	source
UAN66	Oral	source
UAN65	Oral	source
UAN64	Oral	source
UAN63	Oral	source
UAN62	Oral	source
UAN61	Oral	source
UAN60	Oral	source
UAN59	Oral	source
UAN58	Oral	source
UAN57	Oral	source
UAN56	Oral	source
UAN55	Oral	source
UAN54	Oral	source
UAN53	Oral	source
UAN52	Oral	source
UAN51	Oral	source
UAN50	Oral	source
UAN49	Oral	source
UAN48	Oral	source
UAN47	Oral	source
UAN46	Oral	source
UAN45	Oral	source
UAN44	Oral	source
UAN43	Oral	source
UAN42	Oral	source
UAN41	Oral	source
UAN40	Oral	source
RAN19	Oral	source
RAN18	Oral	source
RAN17	Oral	source
RAN16	Oral	source
RAN15	Oral	source
RAN14	Oral	source
RAN13	Oral	source
RAN12	Oral	source
RAN11	Oral	source
RAN10	Oral	source
RAN9	Oral	source
RAN8	Oral	source
RAN7	Oral	source
RAN6	Oral	source
RAN5	Oral	source
RAN4	Oral	source
RAN3	Oral	source
RAN2	Oral	source
RAN1	Oral	source
UAN36	Oral	source
UAN35	Oral	source
UAN34	Oral	source
UAN33	Oral	source
UAN32	Oral	source
UAN31	Oral	source
UAN30	Oral	source
UAN29	Oral	source
UAN28	Oral	source
UAN27	Oral	source
UAN26	Oral	source
UAN25	Oral	source
UAN24	Oral	source
UAN23	Oral	source
UAN22	Oral	source
UAN21	Oral	source
UAN20	Oral	source
UAN19	Oral	source
UAN18	Oral	source
UAN17	Oral	source
UAN16	Oral	source
UAN15	Oral	source
UAN14	Oral	source
UAN13	Oral	source
UAN12	Oral	source
UAN11	Oral	source
UAN10	Oral	source
UAN9	Oral	source
UAN8	Oral	source
UAN7	Oral	source
UAN6	Oral	source
UAN5	Oral	source
UAN4	Oral	source
UAN3	Oral	source
UAN2	Oral	source
UAN1	Oral	source
UAN38	Oral	source
UAN37	Oral	source
RAN21	Oral	source
RAN20	Oral	source
UAN39	Oral	source
FRAN1	Gut	sink
FRAN10	Gut	sink
FRAN11	Gut	sink
FRAN12	Gut	sink
FRAN13	Gut	sink
FRAN14	Gut	sink
FRAN15	Gut	sink
FRAN16	Gut	sink
FRAN17	Gut	sink
FRAN18	Gut	sink
FRAN19	Gut	sink
FRAN2	Gut	sink
FRAN20	Gut	sink
FRAN21	Gut	sink
FRAN22	Gut	sink
FRAN23	Gut	sink
FRAN24	Gut	sink
FRAN25	Gut	sink
FRAN26	Gut	sink
FRAN27	Gut	sink
FRAN28	Gut	sink
FRAN29	Gut	sink
FRAN3	Gut	sink
FRAN30	Gut	sink
FRAN31	Gut	sink
FRAN32	Gut	sink
FRAN33	Gut	sink
FRAN34	Gut	sink
FRAN35	Gut	sink
FRAN36	Gut	sink
FRAN37	Gut	sink
FRAN4	Gut	sink
FRAN5	Gut	sink
FRAN6	Gut	sink
FRAN7	Gut	sink
FRAN8	Gut	sink
FRAN9	Gut	sink
FUAN1	Gut	sink
FUAN10	Gut	sink
FUAN11	Gut	sink
FUAN12	Gut	sink
FUAN13	Gut	sink
FUAN14	Gut	sink
FUAN15	Gut	sink
FUAN16	Gut	sink
FUAN17	Gut	sink
FUAN18	Gut	sink
FUAN19	Gut	sink
FUAN2	Gut	sink
FUAN20	Gut	sink
FUAN21	Gut	sink
FUAN22	Gut	sink
FUAN23	Gut	sink
FUAN24	Gut	sink
FUAN25	Gut	sink
FUAN26	Gut	sink
FUAN27	Gut	sink
FUAN28	Gut	sink
FUAN29	Gut	sink
FUAN3	Gut	sink
FUAN30	Gut	sink
FUAN31	Gut	sink
FUAN32	Gut	sink
FUAN33	Gut	sink
FUAN34	Gut	sink
FUAN35	Gut	sink
FUAN36	Gut	sink
FUAN37	Gut	sink
FUAN38	Gut	sink
FUAN39	Gut	sink
FUAN4	Gut	sink
FUAN40	Gut	sink
FUAN41	Gut	sink
FUAN42	Gut	sink
FUAN43	Gut	sink
FUAN44	Gut	sink
FUAN45	Gut	sink
FUAN46	Gut	sink
FUAN47	Gut	sink
FUAN48	Gut	sink
FUAN49	Gut	sink
FUAN5	Gut	sink
FUAN50	Gut	sink
FUAN51	Gut	sink
FUAN52	Gut	sink
FUAN53	Gut	sink
FUAN54	Gut	sink
FUAN55	Gut	sink
FUAN56	Gut	sink
FUAN57	Gut	sink
FUAN58	Gut	sink
FUAN59	Gut	sink
FUAN6	Gut	sink
FUAN60	Gut	sink
FUAN61	Gut	sink
FUAN62	Gut	sink
FUAN63	Gut	sink
FUAN64	Gut	sink
FUAN65	Gut	sink
FUAN66	Gut	sink
FUAN67	Gut	sink
FUAN68	Gut	sink
FUAN69	Gut	sink
FUAN7	Gut	sink
FUAN70	Gut	sink
FUAN71	Gut	sink
FUAN72	Gut	sink
FUAN73	Gut	sink
FUAN74	Gut	sink
FUAN75	Gut	sink
FUAN76	Gut	sink
FUAN77	Gut	sink
FUAN8	Gut	sink
FUAN9	Gut	sink
